all catalogues http://ledas-www.star.le.ac.uk/arnie5/arnie5.php#BEPPOSAX
http://ledas-www.star.le.ac.uk/arnie5/arnie5.php?action=basic&catname=grbcat
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
|    NAME    |        TIME         |         OBSERVATORY          |  _RA2000  | _DECL2000  |COORD_FLAG|       REGION       |AFTERGLOW_FLAG|FLUX_FLAG| ID |
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
| GRB  670702|   -0.000000000000000|                          VELA|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|   1|
| GRB  670702|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|   1|
| GRB  690719|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|   3|
| GRB  691008|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|   5|
| GRB  700125|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|   8|
| GRB  700710|   -0.000000000000000|                          VELA|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|   9|
| GRB  700710|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|   9|
| GRB  701001|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  11|
| GRB  710227|   -0.000000000000000|                          VELA|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  15|
| GRB  710227|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  15|
| GRB  720312|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  21|
| GRB  720427|   -0.000000000000000|                          VELA|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  23|
| GRB  720427|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  23|
| GRB  721113|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  26|
| GRB  730125|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  28|
| GRB  730416|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  30|
| GRB 730606A|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  32|
| GRB 730606B|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  33|
| GRB 730606C|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  34|
| GRB  730918|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  38|
| GRB  730926|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  39|
| GRB  731217|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  40|
| GRB  731223|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  41|
| GRB  740121|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  42|
| GRB  740402|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  43|
| GRB  740723|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  44|
| GRB  740724|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  45|
| GRB  740823|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  46|
| GRB  740929|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  47|
| GRB  741214|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  48|
| GRB  751102|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  49|
| GRB  751202|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  50|
| GRB  760612|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  55|
| GRB  760816|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  56|
| GRB  760903|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  57|
| GRB  761123|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  58|
| GRB  761204|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  59|
| GRB  770107|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  62|
| GRB  770131|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  63|
| GRB  770410|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  65|
| GRB  770501|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  66|
| GRB  780521|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|         annulus_int|             N|        N|  73|
| GRB 780914A|   -0.000000000000000|                           IPN|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  74|
| GRB 780914B|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  75|
| GRB 780914B|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  75|
| GRB  780916|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  76|
| GRB  780918|   -0.000000000000000|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  77|
| GRB  780918|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  77|
| GRB  780918|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  77|
| GRB 780921A|   -0.000000000000000|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  78|
| GRB 780921A|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  78|
| GRB 780921A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  78|
| GRB 780921B|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  79|
| GRB  780922|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  80|
| GRB  780930|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  81|
| GRB  781004|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  82|
| GRB  781005|   -0.000000000000000|                           IPN|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  83|
| GRB  781005|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  83|
| GRB 781006A|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  84|
