all catalogues http://ledas-www.star.le.ac.uk/arnie5/arnie5.php#BEPPOSAX
http://ledas-www.star.le.ac.uk/arnie5/arnie5.php?action=basic&catname=grbcat
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
|    NAME    |        TIME         |         OBSERVATORY          |  _RA2000  | _DECL2000  |COORD_FLAG|       REGION       |AFTERGLOW_FLAG|FLUX_FLAG| ID |
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
| GRB  670702|39673.596851851798419|                          VELA|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|   1|
| GRB  670702|39673.596851851798419|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|   1|
| GRB  690719|40421.157453703694046|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|   3|
| GRB  691008|40502.687986111101054|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|   5|
| GRB  700125|40611.209374999998545|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|   8|
| GRB  700710|40777.220671296301589|                          VELA|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|   9|
| GRB  700710|40777.220671296301589|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|   9|
| GRB  701001|40860.654282407398568|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  11|
| GRB  710227|41009.727488425902266|                          VELA|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  15|
| GRB  710227|41009.727476851898246|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  15|
| GRB  720312|41388.661967592597648|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  21|
| GRB  720427|41434.457314814797428|                          VELA|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  23|
| GRB  720427|41434.457314814797428|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  23|
| GRB  721113|41634.668495370402525|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  26|
| GRB  730125|41707.635532407402934|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  28|
| GRB  730416|41788.527233796303335|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  30|
| GRB 730606A|41839.296851851897372|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  32|
| GRB 730606B|41839.438182870399032|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  33|
| GRB 730606C|41839.782743055598985|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  34|
| GRB  730918|41943.215648148201581|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  38|
| GRB  730926|41951.670057870396704|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  39|
| GRB  731217|42033.339675925897609|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  40|
| GRB  731223|42039.027627314797428|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  41|
| GRB  740121|42068.753969907396822|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  42|
| GRB  740402|42139.764247685197915|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  43|
| GRB  740723|42251.549618055600149|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  44|
| GRB  740724|42252.136620370401943|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  45|
| GRB  740823|42282.608148148094187|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  46|
| GRB  740929|42319.785914351901738|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  47|
| GRB  741214|42395.426782407397695|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  48|
| GRB  751102|42718.503680555601022|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  49|
| GRB  751202|42748.999976851897372|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  50|
| GRB  760612|42941.794201388896909|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  55|
| GRB  760816|43006.677453703698120|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  56|
| GRB  760903|43024.016817129602714|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  57|
| GRB  761123|43105.797141203700448|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  58|
| GRB  761204|43116.924224536996917|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  59|
| GRB  770107|43150.920497685197915|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  62|
| GRB  770131|43174.437060185198789|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  63|
| GRB  770410|43243.560729166696547|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  65|
| GRB  770501|43264.886099536997790|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  66|
| GRB  780521|43649.912337962996389|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|         annulus_int|             N|        N|  73|
| GRB 780914A|43765.488032407396531|                           IPN|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  74|
| GRB 780914B|43765.697094907402061|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  75|
| GRB 780914B|43765.695138888899237|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  75|
| GRB  780916|43767.418055555601313|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  76|
| GRB  780918|43769.825983796297805|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  77|
| GRB  780918|43769.825543981496594|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  77|
| GRB  780918|43769.824999999997090|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  77|
| GRB 780921A|43772.163857638894115|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  78|
| GRB 780921A|43772.164618055598112|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  78|
| GRB 780921A|43772.163194444401597|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  78|
| GRB 780921B|43772.848611111097853|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  79|
| GRB  780922|43773.523611111100763|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  80|
| GRB  780930|43781.281944444403052|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  81|
| GRB  781004|43785.031944444403052|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  82|
| GRB  781005|43786.034606481502124|                           IPN|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  83|
| GRB  781005|43786.034722222197161|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  83|
| GRB 781006A|43787.458252314798301|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  84|
| GRB 781006A|43787.458253472199431|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  84|
| GRB 781006A|43787.458252314798301|                           IPN|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  84|
| GRB 781006A|43787.457638888896327|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  84|
| GRB 781006B|43787.600898148200940|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  85|
| GRB 781006B|43787.599999999998545|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  85|
| GRB  781011|43792.452083333293558|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  86|
| GRB 781012A|43793.045833333293558|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  87|
| GRB 781012C|43793.717928240701440|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  89|
| GRB 781012C|43793.717932870400546|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  89|
| GRB 781012C|43793.717928240701440|                           IPN|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  89|
| GRB 781012C|43793.716666666703532|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  89|
| GRB  781013|43794.621249999996508|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  90|
| GRB  781013|43794.621255787002156|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  90|
| GRB  781013|43794.620833333297924|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  90|
| GRB  781019|43800.768182870400778|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  91|
| GRB  781019|43800.768032407402643|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  91|
| GRB  781022|43803.974999999998545|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  92|
| GRB  781023|43804.724756944400724|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  93|
| GRB  781023|43804.724752314803482|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  93|
| GRB  781023|43804.724305555602768|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  93|
| GRB  781025|43806.995162036997499|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  94|
| GRB  781025|43806.995807870400313|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  94|
| GRB  781025|43806.995833333297924|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  94|
| GRB  781026|43807.336041666698293|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  95|
| GRB  781026|43807.336040509297163|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  95|
| GRB  781026|43807.335416666697711|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  95|
| GRB  781102|43814.522916666697711|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  96|
| GRB 781104A|43816.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  97|
| GRB 781104B|43816.679085648094770|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  98|
| GRB 781104B|43816.679083333299786|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  98|
| GRB 781104B|43816.679027777798183|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N|  98|
| GRB 781104B|43816.678564814799756|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  98|
| GRB 781104B|43816.677777777797019|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  98|
| GRB  781107|43819.922916666699166|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y|  99|
| GRB  781109|43821.632638888899237|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 100|
| GRB  781111|43823.723611111097853|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 101|
| GRB  781113|43825.447916666700621|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 102|
| GRB 781115A|43827.879403935199662|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 103|
| GRB 781115A|43827.879462962999241|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 103|
| GRB 781115A|43827.879652777803130|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 103|
| GRB 781115A|43827.878472222197161|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 103|
| GRB 781115B|43827.925694444398687|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 104|
| GRB  781117|43829.573611111096398|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 105|
| GRB  781119|43831.394822916699923|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 106|
| GRB  781119|43831.394784722200711|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 106|
| GRB  781119|43831.393706018498051|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 106|
| GRB  781119|43831.394699074095115|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 106|
| GRB  781119|43831.393750000002910|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 106|
| GRB 781121A|43833.065461805599625|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 107|
| GRB 781121A|43833.066392361099133|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 107|
| GRB 781121A|43833.065243055600149|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 107|
| GRB 781121A|43833.064583333296468|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 107|
| GRB 781121B|43833.250000000000000|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 108|
| GRB  781123|43835.670833333293558|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 109|
| GRB  781124|43836.162414351798361|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 110|
| GRB  781124|43836.163521990696609|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 110|
| GRB  781124|43836.162499999998545|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 110|
| GRB  781124|43836.161111111097853|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 110|
| GRB  781207|43849.924305555599858|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 111|
| GRB  781217|43859.849247685197042|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 112|
| GRB  781217|43859.850966435202281|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 112|
| GRB  781229|43871.502777777801384|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 113|
| GRB  790101|43874.005206018497120|            SIGNE 2m/VENERA 11|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 114|
| GRB  790101|43874.004861111097853|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 114|
| GRB 790102A|43875.746527777802839|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 115|
| GRB 790102B|43875.940972222197161|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 116|
| GRB  790103|43876.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 117|
| GRB 790107A|43880.229166666700621|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 119|
| GRB 790107B|43880.233275462996971|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 120|
| GRB 790107B|43880.233276620398101|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 120|
| GRB  790113|43886.314557870398858|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 121|
| GRB  790113|43886.316681712996797|             SIGNE 2m/PROGNOZ7|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 121|
| GRB  790113|43886.314791666700330|                           PVO|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 121|
| GRB  790113|43886.313888888893416|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 121|
| GRB  790116|43889.373611111099308|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 122|
| GRB 790119A|43892.598611111097853|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 123|
| GRB  790131|43904.434027777802839|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 125|
| GRB  790208|43912.420138888897782|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 126|
| GRB  790211|43915.485729166699457|                       CATALOG|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        N| 127|
| GRB  790211|43915.487500000002910|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 127|
| GRB  790213|43917.540277777799929|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 128|
| GRB  790214|43918.500000000000000|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 129|
| GRB  790215|43919.717361111099308|                    KONUS-WIND|00 00 00.00|  0 00 00.00|      -1.0|                    |             N|        Y| 130|
