all catalogues http://ledas-www.star.le.ac.uk/arnie5/arnie5.php#BEPPOSAX
http://ledas-www.star.le.ac.uk/arnie5/arnie5.php?action=basic&catname=grbcat
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
|    NAME    |        TIME         |         OBSERVATORY          |  _RA2000  | _DECL2000  |COORD_FLAG|       REGION       |AFTERGLOW_FLAG|FLUX_FLAG| ID |
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
| GRB  670702|0000039673.5968518518|                          VELA|00 00 00000|  0 00 00000|        -1|                    |             N|        N|   1|
| GRB  670702|0000039673.5968518518|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|   1|
| GRB  690719|0000040421.1574537037|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|   3|
| GRB  691008|0000040502.6879861111|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|   5|
| GRB  700125|00000000040611.209375|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|   8|
| GRB  700710|0000040777.2206712963|                          VELA|00 00 00000|  0 00 00000|        -1|                    |             N|        N|   9|
| GRB  700710|0000040777.2206712963|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|   9|
| GRB  701001|0000040860.6542824074|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  11|
| GRB  710227|0000041009.7274884259|                          VELA|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  15|
| GRB  710227|0000041009.7274768519|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  15|
| GRB  720312|0000041388.6619675926|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  21|
| GRB  720427|0000041434.4573148148|                          VELA|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  23|
| GRB  720427|0000041434.4573148148|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  23|
| GRB  721113|0000041634.6684953704|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  26|
| GRB  730125|0000041707.6355324074|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  28|
| GRB  730416|0000041788.5272337963|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  30|
| GRB 730606A|0000041839.2968518519|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  32|
| GRB 730606B|0000041839.4381828704|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  33|
| GRB 730606C|0000041839.7827430556|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  34|
| GRB  730918|0000041943.2156481482|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  38|
| GRB  730926|0000041951.6700578704|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  39|
| GRB  731217|0000042033.3396759259|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  40|
| GRB  731223|0000042039.0276273148|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  41|
| GRB  740121|0000042068.7539699074|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  42|
| GRB  740402|0000042139.7642476852|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  43|
| GRB  740723|0000042251.5496180556|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  44|
| GRB  740724|0000042252.1366203704|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  45|
| GRB  740823|0000042282.6081481481|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  46|
| GRB  740929|0000042319.7859143519|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  47|
| GRB  741214|0000042395.4267824074|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  48|
| GRB  751102|0000042718.5036805556|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  49|
| GRB  751202|0000042748.9999768519|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  50|
| GRB  760612|0000042941.7942013889|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  55|
| GRB  760816|0000043006.6774537037|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  56|
| GRB  760903|0000043024.0168171296|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  57|
| GRB  761123|0000043105.7971412037|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  58|
| GRB  761204|00000043116.924224537|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  59|
| GRB  770107|0000043150.9204976852|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  62|
| GRB  770131|0000043174.4370601852|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  63|
| GRB  770410|0000043243.5607291667|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  65|
| GRB  770501|00000043264.886099537|                       CATALOG|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  66|
| GRB  780521|00000043649.912337963|                       CATALOG|00 00 00000|  0 00 00000|        -1|         annulus_int|             N|        N|  73|
| GRB 780914A|0000043765.4880324074|                           IPN|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  74|
| GRB 780914B|0000043765.6970949074|                           PVO|00 00 00000|  0 00 00000|        -1|                    |             N|        Y|  75|
| GRB 780914B|0000043765.6951388889|                    KONUS-WIND|00 00 00000|  0 00 00000|        -1|                    |             N|        Y|  75|
| GRB  780916|0000043767.4180555556|                    KONUS-WIND|00 00 00000|  0 00 00000|        -1|                    |             N|        Y|  76|
| GRB  780918|0000043769.8259837963|            SIGNE 2m/VENERA 11|00 00 00000|  0 00 00000|        -1|                    |             N|        N|  77|
| GRB  780918|0000043769.8255439815|                           PVO|00 00 00000|  0 00 00000|        -1|                    |             N|        Y|  77|
| GRB  780918|00000000000043769.825|                    KONUS-WIND|00 00 00000|  0 00 00000|        -1|                    |             N|        Y|  77|
